,Link,Name,Description,Actual_price,offer_price
0,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-230-transformer/p/4916532930_120artist,Maybelline New York,Super Stay Matte Ink Liquid Lipstick- 230 Transformer,₹468,₹367
1,/lakme-forever-matte-liquid-lip-colour--red-wine/p/4919544020_redwine,LAKME,forever Matte Liquid Lip Colour - Red Wine,₹279,₹223
2,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-220-ambitious/p/4916532930_220ambitious,Maybelline New York,Super Stay Matte Ink Liquid Lipstick-220 Ambitious,₹468,₹367
3,/lakme-forever-matte-liquid-lip-colour-nude-twist/p/4919544020_nudetwist,LAKME,Forever Matte Liquid Lip Colour Nude Twist,₹319,₹255
4,/lakme-forever-matte-liquid-lip-colour-nude-dream/p/4919544020_nudedream,LAKME,Forever Matte Liquid Lip Colour Nude Dream,₹319,₹255
5,/maybelline-new-york-color-show-intense-lip-crayon-mystic-mauve/p/4919383250_mysticmauve,Maybelline New York,Color Show Intense Lip Crayon- Mystic Mauve,₹327,₹262
6,/lakme-9-to-5-weightless-lip--cheek-color-rosy-plum/p/4915605400_rosyplum,LAKME,9 To 5 Weightless Lip & Cheek Color Rosy Plum,₹508,₹406
7,/lakme-forever-matte-liquid-lip-colour--red-cherry/p/4919544020_redcherry,LAKME,forever Matte Liquid Lip Colour - Red Cherry,₹279,₹223
8,/faces-canada-comfy-mat-pro-lip-color--13-frisky-brown/p/4932034290_13friskybrown,Faces Canada,Comfy Mat Pro Lip Color - 13 Frisky Brown,₹559,₹447
9,/maybelline-new-york-sensational-liquid-matte-lipstick/p/4919005700_sensationallyme,Maybelline New York,Sensational Liquid Matte Lipstick,₹287,₹230
10,/maybelline-new-york-creamy-matte-lipstick--657-nude-nuance/p/4913379080_657nudenuance,Maybelline New York,Creamy Matte Lipstick - 657 Nude Nuance,₹237,₹190
11,/maybelline-new-york-color-sensational-creamy-matte-lipstick/p/4913558680_695divinewine,Maybelline New York,Color Sensational Creamy Matte Lipstick,₹253,₹202
12,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick--70-amazonian/p/4916532880_70amazonian,Maybelline New York,Super Stay Matte Ink Liquid Lipstick - 70 Amazonian,₹468,₹367
13,/maybelline-new-york-super-stay-crayon-lipstick--55-make-it-happen-1-2-gm/p/4919005620_makeithappen,Maybelline New York,Super Stay Crayon Lipstick - 55 Make it Happen -1.2 gm,₹575,₹451
14,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick/p/4916532930_125inspirer,Maybelline New York,Super Stay Matte Ink Liquid Lipstick,₹468,₹367
15,/maybelline-new-york-color-sensational-ultimattes-lipstick--more-mauve/p/4931924740_pink,Maybelline New York,Color Sensational Ultimattes Lipstick - More Mauve,₹461,₹362
16,/blue-heaven-powder-matte-mahogany-moments-b03/p/4919437880_mahoganymomenst,BLUE HEAVEN,Powder Matte -Mahogany Moments B03,₹165,No Offer
17,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick/p/4916532930_25heroine,Maybelline New York,Super Stay Matte Ink Liquid Lipstick,₹468,₹367
18,/lakme-forever-matte-liquid-lip-colour-wine-touch/p/4919544020_winetouch,LAKME,Forever Matte Liquid Lip Colour Wine Touch,₹319,₹255
19,/lakme-forever-matte-liquid-lip-colour-brown-espresso/p/4919544020_brownespresso,LAKME,Forever Matte Liquid Lip Colour Brown Espresso,₹319,₹255
20,/lakme-absolute-3d-lipstick-wine-whisper/p/4916466450_winewhisper,LAKME,Absolute 3D Lipstick Wine Whisper,₹619,₹495
21,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-118-dancer/p/4916532930_118dancer,Maybelline New York,Super Stay Matte Ink Liquid Lipstick-118 Dancer,₹468,₹367
22,/maybelline-new-york-color-sensational-ultimattes-lipstick--more-rust/p/4931924760_nude,Maybelline New York,Color Sensational Ultimattes Lipstick - More Rust,₹461,₹362
23,/colorbar-sinful-matte-lipcolor--026-foreplay/p/4928742980_foreplay,COLORBAR,Sinful Matte Lipcolor - 026 Foreplay,"₹1,299","₹1,103"
24,/colorbar-velvet-matte-lipstick--deep-fantasy-092--4-2-g/p/4913293320_deepfantasy092,COLORBAR,Velvet Matte Lipstick - Deep Fantasy 092 - 4.2 g,₹449,₹381
25,/maybelline-new-york-super-stay-crayon-lipstick--15-lead-the-way--1-2-gm/p/4919005620_leadtheway,Maybelline New York,Super Stay Crayon Lipstick - 15 Lead the way - 1.2 gm,₹575,₹451
26,/miss-claire-soft-matte-lip-cream-no-4/p/4924930130_no04,Miss Claire,Soft Matte Lip Cream No 4,₹295,₹251
27,/revlon-colorstay-overtime-lip-color-stay-currant-8-ml-/p/4919416600_staycurrant,REVLON,Colorstay Overtime Lip Color -Stay Currant (8 ml),₹975,₹780
28,/lakme-absolute-3d-lipstick-red-carnival/p/4916466450_red,LAKME,Absolute 3D Lipstick Red Carnival,₹619,₹495
29,/insight-cosmetics-color-rich-lipstick--shocking-pink/p/4924943780_shockingpink,Insight Cosmetics,Color Rich Lipstick - Shocking Pink,₹149,₹119
30,/maybelline-new-york-super-stay-matte-ink-liquid-lipstick--50-voyager/p/4916532990_50voyager,Maybelline New York,Super Stay Matte Ink Liquid Lipstick - 50 Voyager,₹468,₹367
31,/lakme-forever-matte-liquid-lip-colour-fuschia-chic/p/4919544020_fuschiachic,LAKME,Forever Matte Liquid Lip Colour Fuschia Chic,₹319,₹255
32,/miss-claire-soft-matte-lip-cream-no-1/p/4924930130_no01,Miss Claire,Soft Matte Lip Cream No 1,₹225,₹191
33,/m-a-c-matte-lipstick--mehr/p/4919418590_multi,M.A.C,Matte Lipstick - Mehr,"₹2,300","₹2,070"
34,/maybelline-new-york-color-sensational-creamy-matte-lipstick/p/4913558680_634boldcrimson,Maybelline New York,Color Sensational Creamy Matte Lipstick,₹253,₹202
35,/sugar-cosmetics-nude-rules-set-of-4-mini-lipstick/p/4924925080_multi,Sugar Cosmetics,Nude Rules Set of 4 Mini Lipstick,₹999,No Offer
36,/maybelline-new-york-color-sensational-ultimattes-lipstick--more-buff/p/4931924750_nude,Maybelline New York,Color Sensational Ultimattes Lipstick - More Buff,₹461,₹362
37,/blue-heaven-powder-matte-woody-flush-n01/p/4919437880_woodyflush,BLUE HEAVEN,Powder Matte -Woody flush N01,₹165,No Offer
